time,bev_private0,bev_private0,bev_private0,bev_private0,bev_private0,bev_private0,bev_private1,bev_private1,bev_private1,bev_private1,bev_private1,bev_private1,bev_private2,bev_private2,bev_private2,bev_private2,bev_private2,bev_private2
time,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist
2023-07-01 00:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 00:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 00:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 00:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 01:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 01:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 01:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 01:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 02:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 02:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 02:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 02:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 03:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 03:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 03:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 03:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 04:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 04:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
