period_start,air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,kW,W,precipitable_water,precipitation_rate,relative_humidity,surface_pressure,snow_depth,snow_water_equivalent,snow_soiling_rooftop,snow_soiling_ground,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,zenith,period_end
2023-07-10 00:00:00+02:00,21,0.17,17,0,0,0,0,17,12.9,0,0,0,0,0,0,25.86666667,0,60.96666667,975.1,0,0,0,0,162,165.6666667,4.066666667,2.4,107.6666667,2023-07-10 00:15:00+02:00
2023-07-10 00:15:00+02:00,20.33333333,0.17,13.66666667,0,0,0,0,14,12.9,0,0,0,0,0,0,25.8,0,61.73333333,975.0333333,0,0,0,0,164,166,4.166666667,2.3,108,2023-07-10 00:30:00+02:00
2023-07-10 00:30:00+02:00,20,0.17,10,0,0,0,0,10,12.9,0,0,0,0,0,0,25.7,0,62.46666667,975,0,0,0,0,165.6666667,166.3333333,4.233333333,2.3,109,2023-07-10 00:45:00+02:00
2023-07-10 00:45:00+02:00,20,0.17,6.333333333,0,0,0,0,9,12.9,0,0,0,0,0,0,25.63333333,0,63.26666667,974.9333333,0,0,0,0,167.3333333,167,4.333333333,2.3,109,2023-07-10 01:00:00+02:00
2023-07-10 01:00:00+02:00,20,0.17,3,0,0,0,0,4,12.9,0,0,0,0,0,0,25.53333333,0,64,974.9,0,0,0,0,170.6666667,171,4.333333333,2.3,109,2023-07-10 01:15:00+02:00
2023-07-10 01:15:00+02:00,20,0.17,-1,0,0,0,0,5,12.9,0,0,0,0,0,0,25.36666667,0,64.7,974.9,0,0,0,0,175.3333333,178.6666667,4.233333333,2.3,109,2023-07-10 01:30:00+02:00
2023-07-10 01:30:00+02:00,19.66666667,0.17,-4.666666667,0,0,0,0,10.66666667,12.8,0,0,0,0,0,0,25.16666667,0,65.4,974.9,0,0,0,0,180.6666667,186.3333333,4.2,2.333333333,109,2023-07-10 01:45:00+02:00
2023-07-10 01:45:00+02:00,19,0.17,-8,0,0,0,0,13.33333333,12.8,0,0,0,0,0,0,25.03333333,0,66.1,974.9,0,0,0,0,185.6666667,193,4.133333333,2.433333333,109,2023-07-10 02:00:00+02:00
2023-07-10 02:00:00+02:00,19,0.17,-12,0,0,0,0,8,12.8,0,0,0,0,0,0,25,0,67.1,974.9,0,0,0,0,190.3333333,196.6666667,4.1,2.5,108.6666667,2023-07-10 02:15:00+02:00
2023-07-10 02:15:00+02:00,19,0.17,-15.33333333,0,0,0,0,5,12.9,0,0,0,0,0,0,25.03333333,0,68.36666667,974.9,0,0,0,0,194.6666667,197.3333333,4.1,2.5,108,2023-07-10 02:30:00+02:00
2023-07-10 02:30:00+02:00,18.66666667,0.17,-19,0,0,0,0,0,12.9,0,0,0,0,0,0,25.1,0,69.66666667,974.9,0,0,0,0,199.3333333,198,4.1,2.5,107,2023-07-10 02:45:00+02:00
2023-07-10 02:45:00+02:00,18,0.17,-22.33333333,0,0,0,0,0,13,0,0,0,0,0,0,25.13333333,0,71,974.9,0,0,0,0,203.6666667,199,4.1,2.4,106.3333333,2023-07-10 03:00:00+02:00
2023-07-10 03:00:00+02:00,18,0.17,-26,0,0,0,0,0,13.06666667,0,0,0,0,0,0,25.2,0,72.3,974.9,0,0,0,0,206,198.6666667,4.133333333,2.4,105.3333333,2023-07-10 03:15:00+02:00
2023-07-10 03:15:00+02:00,18,0.17,-29,0,0,0,0,0,13.16666667,0,0,0,0,0,0,25.23333333,0,73.6,974.9,0,0,0,0,206.3333333,197.3333333,4.2,2.433333333,104.3333333,2023-07-10 03:30:00+02:00
2023-07-10 03:30:00+02:00,18,0.17,-32.66666667,0,0,0,0,9.333333333,13.33333333,0,0,0,0,0,0,25.3,0,74.9,974.9,0,0,0,0,207,196,4.3,2.5,102.6666667,2023-07-10 03:45:00+02:00
2023-07-10 03:45:00+02:00,18,0.17,-36,0,0,0,0,35.33333333,13.43333333,0,0,0,0,0,0,25.36666667,0,76.23333333,974.9,0,0,0,0,207,194.6666667,4.333333333,2.5,101.3333333,2023-07-10 04:00:00+02:00
2023-07-10 04:00:00+02:00,18,0.17,-39,0,0,0,0,1.666666667,13.5,0,0,0,0,0,0,25.4,0,77.13333333,974.9,0,0,0,0,207,193,4.4,2.433333333,99.66666667,2023-07-10 04:15:00+02:00
2023-07-10 04:15:00+02:00,18,0.17,-42,0,0,0,0,0,13.5,0,0,0,0,0,0,25.4,0,77.63333333,974.9,0,0,0,0,206,190,4.4,2.333333333,98.33333333,2023-07-10 04:30:00+02:00
2023-07-10 04:30:00+02:00,17,0.17,-45,0,0,0,0,0,13.6,0,0,0,0,0,0,25.43333333,0,78.13333333,974.8333333,0,0,0,0,205.3333333,187,4.4,2.233333333,96.66666667,2023-07-10 04:45:00+02:00
2023-07-10 04:45:00+02:00,17,0.17,-48,0,0,0,0,0,13.6,0,0,0,0,0,0,25.5,0,78.63333333,974.8,0,0,0,0,204.6666667,184,4.4,2.133333333,94.66666667,2023-07-10 05:00:00+02:00
2023-07-10 05:00:00+02:00,17,0.17,-51,0,0,0,0,4,13.6,0,0,0,0,0,0,25.5,0,78.76666667,974.8,0,0,0,0,203.3333333,182.3333333,4.433333333,2.133333333,93,2023-07-10 05:15:00+02:00
