Timeseries,Power Consumption (W)
2023-07-10 00:00:00+02:00,820.007
2023-07-10 00:15:00+02:00,1330.0042
2023-07-10 00:30:00+02:00,1303.338467
2023-07-10 00:45:00+02:00,1061.0084
2023-07-10 01:00:00+02:00,1334.339667
2023-07-10 01:15:00+02:00,1425.0058
2023-07-10 01:30:00+02:00,1515.0056
2023-07-10 01:45:00+02:00,1437.0072
2023-07-10 02:00:00+02:00,1190.6758
2023-07-10 02:15:00+02:00,1304.674267
2023-07-10 02:30:00+02:00,1287.3422
2023-07-10 02:45:00+02:00,1260.009733
2023-07-10 03:00:00+02:00,1243.009067
2023-07-10 03:15:00+02:00,1435.007667
2023-07-10 03:30:00+02:00,1274.675467
2023-07-10 03:45:00+02:00,1362.0096
2023-07-10 04:00:00+02:00,1449.676267
2023-07-10 04:15:00+02:00,1472.675667
2023-07-10 04:30:00+02:00,1502.007467
2023-07-10 04:45:00+02:00,1391.675333
2023-07-10 05:00:00+02:00,1275.008533
2023-07-10 05:15:00+02:00,1385.005867
2023-07-10 05:30:00+02:00,1512.004667
2023-07-10 05:45:00+02:00,2016.6734
2023-07-10 06:00:00+02:00,1840.011333
2023-07-10 06:15:00+02:00,3130.0146
2023-07-10 06:30:00+02:00,4988.680733
2023-07-10 06:45:00+02:00,3026.681733
2023-07-10 07:00:00+02:00,2120.008867
2023-07-10 07:15:00+02:00,1739.339933
2023-07-10 07:30:00+02:00,1652.008133
2023-07-10 07:45:00+02:00,1858.009733
2023-07-10 08:00:00+02:00,1994.677667
2023-07-10 08:15:00+02:00,2111.344933
2023-07-10 08:30:00+02:00,2074.680133
2023-07-10 08:45:00+02:00,1897.3466
2023-07-10 09:00:00+02:00,1920.016
2023-07-10 09:15:00+02:00,2119.350533
2023-07-10 09:30:00+02:00,2660.6826
2023-07-10 09:45:00+02:00,3780.0134
2023-07-10 10:00:00+02:00,4741.345067
2023-07-10 10:15:00+02:00,5020.009267
2023-07-10 10:30:00+02:00,5126.6742
2023-07-10 10:45:00+02:00,4493.341267
2023-07-10 11:00:00+02:00,4111.3432
2023-07-10 11:15:00+02:00,3811.343867
2023-07-10 11:30:00+02:00,4050.0094
2023-07-10 11:45:00+02:00,3517.348533
2023-07-10 12:00:00+02:00,3590.018333
2023-07-10 12:15:00+02:00,3713.3514
2023-07-10 12:30:00+02:00,3604.0166
2023-07-10 12:45:00+02:00,3510.6826
2023-07-10 13:00:00+02:00,3180.0132
2023-07-10 13:15:00+02:00,2802.013067
2023-07-10 13:30:00+02:00,2968.678533
