Timeseries,kW,W
2023-07-10 00:00:00+02:00,0,0
2023-07-10 00:15:00+02:00,0,0
2023-07-10 00:30:00+02:00,0,0
2023-07-10 00:45:00+02:00,0,0
2023-07-10 01:00:00+02:00,0,0
2023-07-10 01:15:00+02:00,0,0
2023-07-10 01:30:00+02:00,0,0
2023-07-10 01:45:00+02:00,0,0
2023-07-10 02:00:00+02:00,0,0
2023-07-10 02:15:00+02:00,0,0
2023-07-10 02:30:00+02:00,0,0
2023-07-10 02:45:00+02:00,0,0
2023-07-10 03:00:00+02:00,0,0
2023-07-10 03:15:00+02:00,0,0
2023-07-10 03:30:00+02:00,0,0
2023-07-10 03:45:00+02:00,0,0
2023-07-10 04:00:00+02:00,0,0
2023-07-10 04:15:00+02:00,0,0
2023-07-10 04:30:00+02:00,0,0
2023-07-10 04:45:00+02:00,0,0
2023-07-10 05:00:00+02:00,0,0
2023-07-10 05:15:00+02:00,0,0
2023-07-10 05:30:00+02:00,0.19,190
2023-07-10 05:45:00+02:00,0.57,570
2023-07-10 06:00:00+02:00,0.9,900
2023-07-10 06:15:00+02:00,1.57,1570
2023-07-10 06:30:00+02:00,1.48,1480
2023-07-10 06:45:00+02:00,2.61,2610
2023-07-10 07:00:00+02:00,2.64,2640
2023-07-10 07:15:00+02:00,3.9,3900
2023-07-10 07:30:00+02:00,3.84,3840
2023-07-10 07:45:00+02:00,5.019999999,5019.999999
2023-07-10 08:00:00+02:00,5.649999999,5649.999999
2023-07-10 08:15:00+02:00,6.339999999,6339.999999
2023-07-10 08:30:00+02:00,7.130000001,7130.000001
2023-07-10 08:45:00+02:00,8.889999999,8889.999999
2023-07-10 09:00:00+02:00,6.81,6810
2023-07-10 09:15:00+02:00,5.900000001,5900.000001
2023-07-10 09:30:00+02:00,5.379999999,5379.999999
2023-07-10 09:45:00+02:00,3.24,3240
2023-07-10 10:00:00+02:00,2.92,2920
2023-07-10 10:15:00+02:00,2.16,2160
2023-07-10 10:30:00+02:00,1.59,1590
2023-07-10 10:45:00+02:00,1.4,1400
2023-07-10 11:00:00+02:00,1.37,1370
2023-07-10 11:15:00+02:00,1.82,1820
2023-07-10 11:30:00+02:00,3.39,3390
2023-07-10 11:45:00+02:00,9.129999999,9129.999999
2023-07-10 12:00:00+02:00,20.08,20080
2023-07-10 12:15:00+02:00,27.6,27600
2023-07-10 12:30:00+02:00,28.01,28010
