Timeseries,Power Consumption (W)
2024-01-15 00:00:00+01:00,0
2024-01-15 00:15:00+01:00,0
2024-01-15 00:30:00+01:00,0
2024-01-15 00:45:00+01:00,0
2024-01-15 01:00:00+01:00,0
2024-01-15 01:15:00+01:00,0
2024-01-15 01:30:00+01:00,0
2024-01-15 01:45:00+01:00,0
2024-01-15 02:00:00+01:00,0
2024-01-15 02:15:00+01:00,0
2024-01-15 02:30:00+01:00,0
2024-01-15 02:45:00+01:00,0
2024-01-15 03:00:00+01:00,0
2024-01-15 03:15:00+01:00,0
2024-01-15 03:30:00+01:00,0
2024-01-15 03:45:00+01:00,0
2024-01-15 04:00:00+01:00,0
2024-01-15 04:15:00+01:00,0
2024-01-15 04:30:00+01:00,0.000666667
2024-01-15 04:45:00+01:00,0.001533333
2024-01-15 05:00:00+01:00,0.003133333
2024-01-15 05:15:00+01:00,0.005066667
2024-01-15 05:30:00+01:00,1400.0058
2024-01-15 05:45:00+01:00,400.0120667
2024-01-15 06:00:00+01:00,4200.030067
2024-01-15 06:15:00+01:00,7400.0386
2024-01-15 06:30:00+01:00,12033.3712
2024-01-15 06:45:00+01:00,11100.0352
2024-01-15 07:00:00+01:00,8200.0238
2024-01-15 07:15:00+01:00,7000.020067
2024-01-15 07:30:00+01:00,12320.02233
2024-01-15 07:45:00+01:00,14506.6922
2024-01-15 08:00:00+01:00,9820.028933
2024-01-15 08:15:00+01:00,7533.3644
2024-01-15 08:30:00+01:00,11266.6968
2024-01-15 08:45:00+01:00,14366.6964
2024-01-15 09:00:00+01:00,13333.36473
2024-01-15 09:15:00+01:00,14466.69527
2024-01-15 09:30:00+01:00,9600.026067
2024-01-15 09:45:00+01:00,8473.359267
2024-01-15 10:00:00+01:00,9900.026533
2024-01-15 10:15:00+01:00,6893.359133
2024-01-15 10:30:00+01:00,10213.356
2024-01-15 10:45:00+01:00,8793.356933
2024-01-15 11:00:00+01:00,7266.692
2024-01-15 11:15:00+01:00,6860.025933
2024-01-15 11:30:00+01:00,5700.0272
2024-01-15 11:45:00+01:00,7886.6966
2024-01-15 12:00:00+01:00,7960.037533
2024-01-15 12:15:00+01:00,10033.3716
2024-01-15 12:30:00+01:00,9986.705933
2024-01-15 12:45:00+01:00,6266.707
2024-01-15 13:00:00+01:00,5633.370867
2024-01-15 13:15:00+01:00,4386.701533
2024-01-15 13:30:00+01:00,4633.3674
2024-01-15 13:45:00+01:00,1933.367333
2024-01-15 14:00:00+01:00,2786.698467
2024-01-15 14:15:00+01:00,4900.0302
2024-01-15 14:30:00+01:00,5653.362467
2024-01-15 14:45:00+01:00,5900.0316
2024-01-15 15:00:00+01:00,10140.04087
2024-01-15 15:15:00+01:00,9560.0436
2024-01-15 15:30:00+01:00,8800.042867
2024-01-15 15:45:00+01:00,7020.0424
2024-01-15 16:00:00+01:00,6733.364867
2024-01-15 16:15:00+01:00,8306.695467
2024-01-15 16:30:00+01:00,7226.697467
2024-01-15 16:45:00+01:00,2726.699467
2024-01-15 17:00:00+01:00,2853.3664
2024-01-15 17:15:00+01:00,8300.032
2024-01-15 17:30:00+01:00,10793.36793
2024-01-15 17:45:00+01:00,12566.703
2024-01-15 18:00:00+01:00,11500.03933
2024-01-15 18:15:00+01:00,10873.37727
2024-01-15 18:30:00+01:00,11800.045
2024-01-15 18:45:00+01:00,12446.71287
2024-01-15 19:00:00+01:00,14266.71
2024-01-15 19:15:00+01:00,18360.0382
2024-01-15 19:30:00+01:00,21573.36827
2024-01-15 19:45:00+01:00,23053.36533
2024-01-15 20:00:00+01:00,31633.36053
2024-01-15 20:15:00+01:00,24166.6938
2024-01-15 20:30:00+01:00,18026.6952
2024-01-15 20:45:00+01:00,10200.0298
2024-01-15 21:00:00+01:00,9200.027067
2024-01-15 21:15:00+01:00,11600.0228
2024-01-15 21:30:00+01:00,10466.6874
2024-01-15 21:45:00+01:00,7833.353733
2024-01-15 22:00:00+01:00,4500.019533
2024-01-15 22:15:00+01:00,2600.016333
2024-01-15 22:30:00+01:00,3533.344667
2024-01-15 22:45:00+01:00,3000.008
2024-01-15 23:00:00+01:00,1400.008467
2024-01-15 23:15:00+01:00,1500.0066
2024-01-15 23:30:00+01:00,1500.004733
2024-01-15 23:45:00+01:00,900.004
2024-01-16 00:00:00+01:00,0
2024-01-16 00:15:00+01:00,0
2024-01-16 00:30:00+01:00,0
2024-01-16 00:45:00+01:00,0
2024-01-16 01:00:00+01:00,0
2024-01-16 01:15:00+01:00,0
2024-01-16 01:30:00+01:00,0.000866667
2024-01-16 01:45:00+01:00,0.001
2024-01-16 02:00:00+01:00,0.001533333
2024-01-16 02:15:00+01:00,733.3346
2024-01-16 02:30:00+01:00,1000.001
2024-01-16 02:45:00+01:00,333.335
2024-01-16 03:00:00+01:00,0.002
